abv,availability,ba_score,beer_name,beer_number,brewery_name,brewery_number,notes,pdev,ranking,ratings,reviews,style
9.50%, Rotating,3.83,(512) Cab Tripel,92675,(512) Brewing Company,17863,No notes at this time.<br><br>Added by MattSweatshirt on 04-22-2013<br>,10.44%,"#22,289",21,5,Tripel
7.60%, Fall,3.89,(512) Bruin,53957,(512) Brewing Company,17863,"At once cuddly and ferocious, (512) BRUIN combines a smooth, rich maltiness and mahogany color with a solid hop backbone and stealthy 7.6% alcohol. Made with Organic 2 Row and Munich malts, plus Chocolate and Crystal malts, domestic hops, and a touch of molasses, this brew has notes of raisins, dark sugars, and cocoa, and pairs perfectly with food and the crisp fall air.<br><br>Added by Riccymon on 11-07-2009<br>",11.31%,"#11,951",102,18,American Brown Ale
7.00%, Limited (brewed once),3.97,(512) Brett Stingo,336148,(512) Brewing Company,17863,No notes at this time.<br><br>Added by Gagnonsux on 03-31-2018<br>,0%,-,1,0,American Wild Ale
7.50%, Spring,3.94,(512) Black IPA,67098,(512) Brewing Company,17863,"An entirely new creation from organic 2-row, organic Crystal 60 and Carafa III, a huskless black malt that gives this beer it’s black color with notes of coffee and chicory without any tannic bitterness. The hop additions are many and generous, featuring Apollo, Horizon, and Nugget, clocking the beer in at 70 IBU. Over 11 pounds per batch of Nugget hops are added directly to the fermenter yielding a resiny herbal and spicy aroma. A hybrid style for dark beer fans who love hops.<br><br>Added by UTCengOwl on 03-12-2011<br>",11.68%,"#8,900",103,18,American Black Ale
5.00%, Rotating,3.96,Cucumber Crush,95837,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 06-28-2013<br>,12.37%,"#6,705",192,36,Berliner Weissbier
4.70%, Year-round,3.46,"""Mike Saw A Sasquatch"" Session Ale",45495,10 Barrel Brewing Co.,16873,"The true Summer Ale of Central Oregon! A Golden Ale, light and smooth. You can taste the craftsmanship in this easy drinking ale with a smooth blend of Cascade and Sterling hops and finished with a touch of Honey malt to balance it out. This is a great introduction if you are new to the world of Craft Brewing. For established craft enthusiasts, 10 Barrel Summer Ale is a good reprieve from overly hopped and overly malty alternatives.",9.83%,"#35,038",11,1,American Blonde Ale
5.00%, Rotating,3.39,Pub Beer,95838,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 06-28-2013<br>,12.98%,"#43,187",89,28,American Pale Lager
5.50%, Year-round,2.8,Hook Tender Honey Brown Ale,129951,101 Brewery at Twana Roadhouse,35867,No notes at this time.<br><br>Added by TheBungyo on 07-21-2014<br>,0%,-,1,0,American Brown Ale
, Rotating,4.4,Sweet Vanilla Oatmeal Stout,218561,10K Brewing,43126,No notes at this time.<br><br>Added by papat444 on 03-07-2016<br>,11.36%,-,4,1,Oatmeal Stout
5.20%, Rotating,3.89,Sweet Vanilla Milk Stout,218560,10K Brewing,43126,No notes at this time.<br><br>Added by papat444 on 03-07-2016<br>,0%,-,2,0,Milk / Sweet Stout
4.90%, Limited (brewed once),3.77,Raunchbier,291813,10K Brewing,43126,No notes at this time.<br><br>Added by SaxmanRick on 07-15-2017<br>,0.53%,-,3,0,Smoked Beer
, Year-round,3.78,Proving Grounds: IPA,276880,10K Brewing,43126,No notes at this time.<br><br>Added by LXIXME on 04-14-2017<br>,6.08%,-,3,0,American IPA
9.50%, Rotating,4.11,Negative Space,198052,11 Below Brewing,39953,No notes at this time.<br><br>Added by Can_has_beer on 11-04-2015<br>,6.81%,"#6,921",38,9,Milk / Sweet Stout
5.70%, Rotating,4.02,Loonar Uprising,265312,10K Brewing,43126,No notes at this time.<br><br>Added by NilocRellim on 01-25-2017<br>,6.72%,-,5,1,American Stout
6.00%, Year-round,4,IP-Eh? 2.0,256513,10K Brewing,43126,No notes at this time.<br><br>Added by sgttibbs on 11-15-2016<br>,0%,-,1,0,American IPA
6.40%, Year-round,3.65,IP-Eh,223802,10K Brewing,43126,No notes at this time.<br><br>Added by Ilafan on 04-09-2016<br>,0%,-,2,0,American IPA
6.90%, Rotating,4.25,India Brown Ale,239027,10K Brewing,43126,No notes at this time.<br><br>Added by KarlHungus on 07-05-2016<br>,0%,-,1,0,American Brown Ale
4.70%, Rotating,3.27,Haufeweizen,218556,10K Brewing,43126,No notes at this time.<br><br>Added by papat444 on 03-07-2016<br>,13.46%,-,5,0,Hefeweizen
8.90%, Rotating,3.51,Double IPA,218558,10K Brewing,43126,No notes at this time.<br><br>Added by papat444 on 03-07-2016<br>,0%,-,1,1,American Double / Imperial IPA
5.70%, Rotating,4.2,Cold Press Loonar Uprising,295514,10K Brewing,43126,No notes at this time.<br><br>Added by BLarson31 on 08-07-2017<br>,0%,-,2,0,American Stout
7.40%, Fall,4.03,Chocolate Moose Nuts,256512,10K Brewing,43126,No notes at this time.<br><br>Added by sgttibbs on 11-15-2016<br>,10.17%,-,3,0,Baltic Porter
8.50%, Year-round,3.65,Naughty Aud,107941,101 North Brewing Company,31027,"Black as the moonless night, Naughty Aud Imperial Stout boasts a profusion of complexity in flavor and aroma possessed by few other styles of ale.  A sturdy crosshatch of molasses, mocha and caramel malt imbued with soft, luminescent aromas of smoked bourbon and vanilla. Illustrated by the renown artist Alan Forbes, this is an unfiltered ale. Please decant slowly and enjoy responsibly.",12.88%,"#31,956",26,9,Russian Imperial Stout
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.20%, Year-round,3.88,Color Blind Red IPA,167398,11 Below Brewing,39953,No notes at this time.<br><br>Added by Can_has_beer on 04-08-2015<br>,12.63%,"#14,748",58,13,American IPA
7.50%, Year-round,3.87,Mojo Chocolate Milk Stout,224536,101 North Brewing Company,31027,No notes at this time.<br><br>Added by IRONRakkasan on 04-13-2016<br>,0%,-,2,0,Milk / Sweet Stout
6.00%, Rotating,3.59,Indigo Pale Ale,252313,101 North Brewing Company,31027,No notes at this time.<br><br>Added by CJNAPS on 10-10-2016<br>,0%,-,2,0,American Pale Ale (APA)
7.20%, Year-round,3.56,Heroine India Pale Ale,90624,101 North Brewing Company,31027,"Immodest hop additions throughout the brewing process characterize this distinctive, amber colored NorCal fashioned India Pale Ale. With an ABV of 7.2% galvanized by a total of 64 IBU’s, we were obliged to create an IPA that would distinguish itself as immortal amongst the common, and with an unforgettable name. We believe we have done just that. Heroine India Pale Ale. A pint of help is on her way.<br><br>Added by elNopalero on 02-28-2013<br>",15.45%,"#39,966",125,18,American IPA
5.30%, Year-round,3.54,Golden Naked Ale,93412,101 North Brewing Company,31027,"Deep golden in color and made with 20% cereal grains, including golden naked oats and toasted rye. This beer has a soft aroma, with flavors of freshly baked bread and caramelized honey. A great reason to have a beer before noon.",16.95%,"#35,676",21,7,American Blonde Ale
9.00%, Rotating,3.78,(512) Wild Bear,75401,(512) Brewing Company,17863,"(512)'s first excursion into the world of so-called wild fermentation, Wild Bear's origins lie in our Fall seasonal, BRUIN. After primary fermentation, we added Brettanomyces yeast and Pediococcus bacteria cultures, and aged the blend in new oak barrels for over 10 months. This combination of wild ""bugs"" and barrel aging gives (512) Wild Bear a complex and enticing aroma of tart cherries, oak, and a touch of barnyard ""funkiness"", a crisp, tart flavor that will intensify with age, and an effervescent, oaky finish that leaves the palate clean.<br><br>Added by drummermattie02 on 11-17-2011<br>",15.34%,"#22,231",90,17,American Wild Ale
, Rotating,3.94,(512) Smash,182131,(512) Brewing Company,17863,No notes at this time.<br><br>Added by kjkinsey on 07-18-2015<br>,11.93%,"#14,396",31,2,American IPA
5.50%, Rotating,0,Amber,218557,10K Brewing,43126,No notes at this time.<br><br>Added by papat444 on 03-07-2016<br>,0%,-,0,0,American Amber / Red Ale
5.90%, Fall,0,Pumpkin Ale,194417,10th District Brewing Co.,42190,No notes at this time.<br><br>Added by ThrewRedButter on 10-11-2015<br>,0%,-,0,0,Pumpkin Ale
4.50%, Year-round,3.86,Porter,199689,10th District Brewing Co.,42190,No notes at this time.<br><br>Added by dental on 11-15-2015<br>,5.96%,-,5,1,American Porter
4.80%, Rotating,3.75,Milk Stout,233690,10th District Brewing Co.,42190,No notes at this time.<br><br>Added by scxcrunner on 06-04-2016<br>,1.87%,-,3,2,Milk / Sweet Stout
7.10%, Year-round,3.71,India Pale Ale,191046,10th District Brewing Co.,42190,No notes at this time.<br><br>Added by Coorsy on 09-17-2015<br>,9.43%,"#28,419",16,3,American IPA
, Rotating,4.17,Barrel-Aged Imperial Stout,228941,101 North Brewing Company,31027,No notes at this time.<br><br>Added by LXIXME on 05-09-2016<br>,0%,-,2,0,American Double / Imperial Stout
6.80%, Year-round,4.14,(512) Pecan Porter,45617,(512) Brewing Company,17863,"Nearly black in color, (512) Pecan Porter is made with Organic US 2-row and Crystal malts along with Baird’s Chocolate and Black malts. Its full body and malty sweetness are balanced with subtle pecan aroma and flavor from locally grown pecans. Yet another true Austin original!<br><br>Added by JonathanL7890 on 10-29-2008<br>",11.11%,"#1,863",774,135,American Porter
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
4.20%, Spring,3.1,Gose,232394,10th District Brewing Co.,42190,No notes at this time.<br><br>Added by ThrewRedButter on 05-26-2016<br>,0%,-,2,1,Gose
5.00%, Rotating,3.88,ESB,233689,10th District Brewing Co.,42190,No notes at this time.<br><br>Added by scxcrunner on 06-04-2016<br>,0%,-,2,1,Extra Special / Strong Bitter (ESB)
6.10%, Rotating,0,Equinox IPA,233691,10th District Brewing Co.,42190,No notes at this time.<br><br>Added by scxcrunner on 06-04-2016<br>,0%,-,0,0,American IPA
5.75%, Rotating,3.61,Saison,203467,105 West Brewing Company,43052,No notes at this time.<br><br>Added by papat444 on 12-07-2015<br>,3.6%,-,3,0,Saison / Farmhouse Ale
10.50%, Rotating,4.4,Russian Imperial Stout (Bourbon Barrel),306887,105 West Brewing Company,43052,No notes at this time.<br><br>Added by CO-Bloom on 10-12-2017<br>,5.68%,-,3,1,Russian Imperial Stout
7.50%, Rotating,4.02,Riesling Saison,210682,105 West Brewing Company,43052,No notes at this time.<br><br>Added by cherche on 01-17-2016<br>,3.48%,-,3,2,Saison / Farmhouse Ale
6.00%, Fall,3.3,Pumpkin Saison,256231,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 11-13-2016<br>,0%,-,1,0,Saison / Farmhouse Ale
8.20%, Winter,4.14,(512) Whiskey Barrel Aged Double Pecan Porter,54905,(512) Brewing Company,17863,"(512) Double Pecan Porter is a robust porter accented by locally grown roasted pecans and subtly enhanced by aging in recently emptied oak whiskey barrels. For the first ever bottling, only one 200L barrel was bottled. Notes of chocolate, coffee and pecan marry with the subtle flavors of vanilla and whiskey to make this a wonderful winter warmer worth sharing and savoring. We sincerely hope you enjoy every sip.",13.77%,"#2,064",433,95,American Porter
7.10%, Rotating,3.98,Raspberry Saison,231116,105 West Brewing Company,43052,No notes at this time.<br><br>Added by West_Chester_Ale_Tester on 05-20-2016<br>,0%,-,2,0,Fruit / Vegetable Beer
7.00%, Rotating,4.03,(512) Funky Kingston,169502,(512) Brewing Company,17863,No notes at this time.<br><br>Added by IrishColonial on 04-23-2015<br>,7.44%,"#9,412",37,5,American Wild Ale
6.40%, Rotating,3.79,Rocky Mountain Juice,266775,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 02-04-2017<br>,0%,-,2,0,American IPA
6.50%, Rotating,3.76,Pale Ale,203463,105 West Brewing Company,43052,No notes at this time.<br><br>Added by papat444 on 12-07-2015<br>,0%,-,1,0,American IPA
7.60%, Rotating,0,Oak Aged Stout,203466,105 West Brewing Company,43052,No notes at this time.<br><br>Added by papat444 on 12-07-2015<br>,0%,-,0,0,Foreign / Export Stout
6.80%, Rotating,3.87,Peach Apricot IPA,245584,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 08-20-2016<br>,0%,-,1,0,American IPA
7.00%, Winter,3.63,Pray For Snow,64765,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by cbarrett4 on 12-27-2010<br>,12.12%,"#37,292",252,53,American Strong Ale
6.00%, Winter,4.06,(512) Cascabel Cream Stout,65536,(512) Brewing Company,17863,"Smooth and roasty, and black as night, (512) Cascabel Cream Stout is brewed to a hair under 6% abv using almost 90% Organic Two Row and Crystal Malts, Chocolate Malt, and Roasted Barley. Non-fermentable Brewers Lactose is added for lasting sweetness, and over 20 pounds of Guajillo Chiles are added after fermentation to warm you up when the night gets chile.<br><br>Added by champ103 on 01-23-2011<br>",11.58%,"#4,236",145,17,Milk / Sweet Stout
7.20%, Year-round,4.06,(512) IPA,43535,(512) Brewing Company,17863,"(512) India Pale Ale is a big, aggressively dry-hopped American IPA with smooth bitterness (~65 IBU) balanced by medium maltiness. Organic 2-row malted barley, loads of hops, and great Austin water create an ale with apricot and vanilla aromatics that lure you in for more.<br><br>Added by wagenvolks on 07-04-2008<br>",10.84%,"#3,175",503,81,American IPA
5.25%, Rotating,3.78,Lemonrye,203459,105 West Brewing Company,43052,No notes at this time.<br><br>Added by papat444 on 12-07-2015<br>,6.35%,-,7,1,American Pale Wheat Ale
5.00%, Rotating,3.96,Cucumber Crush,95837,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 06-28-2013<br>,12.37%,"#6,705",192,36,Berliner Weissbier
4.20%, Rotating,3.97,Apricot Crush,90735,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 03-03-2013<br>,10.33%,"#8,812",70,6,Berliner Weissbier
6.60%, Rotating,0,Northern English Brown,210687,105 West Brewing Company,43052,No notes at this time.<br><br>Added by cherche on 01-17-2016<br>,0%,-,0,0,English Dark Mild Ale
6.80%, Rotating,3.66,Peppermint Porter,262005,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 12-31-2016<br>,0%,-,1,0,American Porter
5.10%, Rotating,0,Hefeweizen,343269,105 West Brewing Company,43052,No notes at this time.<br><br>Added by spoony on 05-05-2018<br>,0%,-,0,0,Hefeweizen
6.00%, Rotating,3.96,Grapefruit IPA,226079,105 West Brewing Company,43052,No notes at this time.<br><br>Added by Panama69 on 04-23-2016<br>,2.78%,-,3,0,American IPA
6.80%, Year-round,4.14,(512) Pecan Porter,45617,(512) Brewing Company,17863,"Nearly black in color, (512) Pecan Porter is made with Organic US 2-row and Crystal malts along with Baird’s Chocolate and Black malts. Its full body and malty sweetness are balanced with subtle pecan aroma and flavor from locally grown pecans. Yet another true Austin original!<br><br>Added by JonathanL7890 on 10-29-2008<br>",11.11%,"#1,863",774,135,American Porter
7.00%, Rotating,3.9,India Pale Ale,203460,105 West Brewing Company,43052,No notes at this time.<br><br>Added by papat444 on 12-07-2015<br>,4.1%,-,5,0,American IPA
9.80%, Rotating,4.21,Jelly's Double IPA,203461,105 West Brewing Company,43052,No notes at this time.<br><br>Added by papat444 on 12-07-2015<br>,9.5%,-,8,1,American Double / Imperial IPA
8.20%, Winter,4.14,(512) Whiskey Barrel Aged Double Pecan Porter,54905,(512) Brewing Company,17863,"(512) Double Pecan Porter is a robust porter accented by locally grown roasted pecans and subtly enhanced by aging in recently emptied oak whiskey barrels. For the first ever bottling, only one 200L barrel was bottled. Notes of chocolate, coffee and pecan marry with the subtle flavors of vanilla and whiskey to make this a wonderful winter warmer worth sharing and savoring. We sincerely hope you enjoy every sip.",13.77%,"#2,064",433,95,American Porter
7.20%, Year-round,4.06,(512) IPA,43535,(512) Brewing Company,17863,"(512) India Pale Ale is a big, aggressively dry-hopped American IPA with smooth bitterness (~65 IBU) balanced by medium maltiness. Organic 2-row malted barley, loads of hops, and great Austin water create an ale with apricot and vanilla aromatics that lure you in for more.<br><br>Added by wagenvolks on 07-04-2008<br>",10.84%,"#3,175",503,81,American IPA
7.00%, Winter,3.63,Pray For Snow,64765,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by cbarrett4 on 12-27-2010<br>,12.12%,"#37,292",252,53,American Strong Ale
7.00%, Rotating,3.81,Hopped And Loaded,241689,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 07-24-2016<br>,4.46%,"#25,164",10,1,American IPA
7.20%, Year-round,3.56,Heroine India Pale Ale,90624,101 North Brewing Company,31027,"Immodest hop additions throughout the brewing process characterize this distinctive, amber colored NorCal fashioned India Pale Ale. With an ABV of 7.2% galvanized by a total of 64 IBU’s, we were obliged to create an IPA that would distinguish itself as immortal amongst the common, and with an unforgettable name. We believe we have done just that. Heroine India Pale Ale. A pint of help is on her way.<br><br>Added by elNopalero on 02-28-2013<br>",15.45%,"#39,966",125,18,American IPA
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
5.80%, Fall,3.73,Oktoberfest,251759,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 10-07-2016<br>,0%,-,1,0,Märzen / Oktoberfest
6.20%, Year-round,3.88,Color Blind Red IPA,167398,11 Below Brewing,39953,No notes at this time.<br><br>Added by Can_has_beer on 04-08-2015<br>,12.63%,"#14,748",58,13,American IPA
4.80%, Rotating,3.18,English Mild,210685,105 West Brewing Company,43052,No notes at this time.<br><br>Added by cherche on 01-17-2016<br>,17.3%,-,5,0,English Pale Mild Ale
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.30%, Rotating,3.64,Denali IPA,264680,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 01-21-2017<br>,0%,-,1,0,American IPA
5.00%, Rotating,3.39,Pub Beer,95838,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 06-28-2013<br>,12.98%,"#43,187",89,28,American Pale Lager
5.00%, Rotating,3.96,Cucumber Crush,95837,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 06-28-2013<br>,12.37%,"#6,705",192,36,Berliner Weissbier
4.20%, Rotating,3.61,Dry Stout,203465,105 West Brewing Company,43052,No notes at this time.<br><br>Added by papat444 on 12-07-2015<br>,8.59%,-,3,0,Irish Dry Stout
8.70%, Rotating,3.5,Golden Strong,210683,105 West Brewing Company,43052,No notes at this time.<br><br>Added by cherche on 01-17-2016<br>,0%,-,1,0,Belgian Strong Pale Ale
4.33%, Rotating,4.02,Deez Nuts,224077,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 04-10-2016<br>,6.72%,"#18,127",11,2,English Bitter
5.20%, Rotating,4.04,Crowfoot Coffee Porter,236484,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 06-20-2016<br>,0%,-,2,0,English Porter
6.10%, Year-round,3.76,Coal Train Porter,200716,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 11-22-2015<br>,3.19%,-,3,0,English Porter
6.60%, Rotating,4.25,Chocolate Booze Cake Surprise ,210686,105 West Brewing Company,43052,No notes at this time.<br><br>Added by cherche on 01-17-2016<br>,0%,-,1,0,Baltic Porter
7.10%, Rotating,3.75,Calypso IPA,265569,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 01-27-2017<br>,0%,-,1,0,American IPA
6.00%, Rotating,3.75,Brett Raspberry Saison,231115,105 West Brewing Company,43052,No notes at this time.<br><br>Added by West_Chester_Ale_Tester on 05-20-2016<br>,0%,-,1,0,Saison / Farmhouse Ale
4.90%, Rotating,3.96,Berliner Weisse,203458,105 West Brewing Company,43052,No notes at this time.<br><br>Added by papat444 on 12-07-2015<br>,3.79%,-,3,0,Berliner Weissbier
5.40%, Rotating,3.57,Belgian Pale Ale,220917,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 03-21-2016<br>,0%,-,1,0,Belgian Pale Ale
7.20%, Rotating,3.64,Belgian Blonde,245534,105 West Brewing Company,43052,No notes at this time.<br><br>Added by WDJersey on 08-19-2016<br>,0%,-,1,0,Belgian Pale Ale
6.80%, Year-round,4.14,(512) Pecan Porter,45617,(512) Brewing Company,17863,"Nearly black in color, (512) Pecan Porter is made with Organic US 2-row and Crystal malts along with Baird’s Chocolate and Black malts. Its full body and malty sweetness are balanced with subtle pecan aroma and flavor from locally grown pecans. Yet another true Austin original!<br><br>Added by JonathanL7890 on 10-29-2008<br>",11.11%,"#1,863",774,135,American Porter
7.00%, Winter,3.63,Pray For Snow,64765,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by cbarrett4 on 12-27-2010<br>,12.12%,"#37,292",252,53,American Strong Ale
8.20%, Winter,4.14,(512) Whiskey Barrel Aged Double Pecan Porter,54905,(512) Brewing Company,17863,"(512) Double Pecan Porter is a robust porter accented by locally grown roasted pecans and subtly enhanced by aging in recently emptied oak whiskey barrels. For the first ever bottling, only one 200L barrel was bottled. Notes of chocolate, coffee and pecan marry with the subtle flavors of vanilla and whiskey to make this a wonderful winter warmer worth sharing and savoring. We sincerely hope you enjoy every sip.",13.77%,"#2,064",433,95,American Porter
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
5.00%, Rotating,3.96,Cucumber Crush,95837,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 06-28-2013<br>,12.37%,"#6,705",192,36,Berliner Weissbier
6.80%, Year-round,4.14,(512) Pecan Porter,45617,(512) Brewing Company,17863,"Nearly black in color, (512) Pecan Porter is made with Organic US 2-row and Crystal malts along with Baird’s Chocolate and Black malts. Its full body and malty sweetness are balanced with subtle pecan aroma and flavor from locally grown pecans. Yet another true Austin original!<br><br>Added by JonathanL7890 on 10-29-2008<br>",11.11%,"#1,863",774,135,American Porter
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.80%, Year-round,4.14,(512) Pecan Porter,45617,(512) Brewing Company,17863,"Nearly black in color, (512) Pecan Porter is made with Organic US 2-row and Crystal malts along with Baird’s Chocolate and Black malts. Its full body and malty sweetness are balanced with subtle pecan aroma and flavor from locally grown pecans. Yet another true Austin original!<br><br>Added by JonathanL7890 on 10-29-2008<br>",11.11%,"#1,863",774,135,American Porter
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.80%, Year-round,4.14,(512) Pecan Porter,45617,(512) Brewing Company,17863,"Nearly black in color, (512) Pecan Porter is made with Organic US 2-row and Crystal malts along with Baird’s Chocolate and Black malts. Its full body and malty sweetness are balanced with subtle pecan aroma and flavor from locally grown pecans. Yet another true Austin original!<br><br>Added by JonathanL7890 on 10-29-2008<br>",11.11%,"#1,863",774,135,American Porter
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
